Description,Location,Price,Bedrooms,Bathrooms,Floor Area,Land Area,Latitude,Longitude
"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Hyde Model","Emilio Vergara Hwy Santa Arcadia, Cabanatuan, Philippines",2705850,3,2,77.31,154,15.0941848,120.6701583
"For Sale 2-Bedroom 2-Storey Townhouse in Mabalacat, Pampanga at Talanai Homes | MAHOGANY","Emilio Vergara Hwy Santa Arcadia, Cabanatuan, Philippines",1400000,2,1,40,40,15.1987752,120.6026101
02376 Brand New Ponte Verde House for Sale in Davao City,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan, Philippines",21500000,5,4,300,200,7.1469686,125.5940509
"3-Bedroom House and Lot for Sale in Imus, Cavite at Lancaster New City | AIRA Model","Emilio Vergara Hwy Santa Arcadia, Cabanatuan, Philippines",5282600,3,2,80,92,14.4084522,120.8964956
"Ready For You: Townhouse for Sale in Capas, Tarlac at Ajoya Capas","Emilio Vergara Hwy Santa Arcadia, Cabanatuan, Philippines",2351000,,2,49,50,15.38374425,120.5870832
"Ready For You: 3BR SA House and Lot for Sale in Cabanatuan, Nueva Ecija at Ajoya Cabanatuan at Php 43,175 monthly amortization","Emilio Vergara Hwy Santa Arcadia, Cabanatuan, Philippines",5381000,3,2,80,203,15.4799841,120.9920413
"For Sale 3-Bedroom Townhouse in Tanza, Cavite at Micara Estates | PORTIA Typical End Unit w/ Fence","Emilio Vergara Hwy Santa Arcadia, Cabanatuan, Philippines",2258057,3,1,45,62,14.366749,120.8184475
"For Sale 3BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Cara w/ CB 99sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan, Philippines",5991000,3,2,66,99,15.4710779,120.9821312
"Townhouse with 2 Bedrooms for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Adlaw Model","Emilio Vergara Hwy Santa Arcadia, Cabanatuan, Philippines",3600000,2,2,48.26,50,7.1035383,125.4948467
"For Sale RFO 2BR 2-Storey Townhouse in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Reana IU 36sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan, Philippines",2972000,2,1,40,36,15.4710779,120.9821312
"2BR 2-Storey Townhouse for Sale in Mabalacat, Pampanga at Talanai Homes | MAHOGANY","Km. 19 West Service Rd. Cupang, Muntinlupa, Philippines",1400000,2,1,40,40,15.1987752,120.6026101
"For Sale 4BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dani 99sqm","Divisoria, Mexico, Philippines",7315000,4,3,83,99,15.4710779,120.9821312
"4BR Single Attached House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga","Km. 19 West Service Rd. Cupang, Muntinlupa, Philippines",5278000,4,3,91,143,15.1262529,120.6580131
"2BR Single Attached House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga","MacArthur Hwy Anonas, Urdaneta, Philippines",3970000,2,2,59,88,15.1262529,120.6580131
"Austine Homes | Amber 2BR Townhouse for Sale in Mabalacat, Pampanga | Futura by Filinvest","Aningway Sacatihan, Subic, Philippines",1979000,2,1,40.39,43.2,15.2270079,120.5922007
"New Leaf | Diana 2BR SA House for Sale in Trece Martires, Cavite | Futura by Filinvest","Alapan II-A, Imus, Philippines",3148800,2,1,37.3,70,,
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Ella w/ CB 158sqm","Km. 19 West Service Rd. Cupang, Muntinlupa, Philippines",8434000,5,3,100,158,14.9131781,120.2282421
"Ready For You: 2BR SA House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga at Php 31,975 monthly amortization","Km. 19 West Service Rd. Cupang, Muntinlupa, Philippines",3979000,2,2,59,88,15.1262529,120.6580131
"3-Bedroom House and Lot for Sale in Imus, Cavite at Lancaster New City | CHESSA Model","San Jose, Antipolo, Philippines",5978000,3,3,90,100,14.4084522,120.8964956
"For Sale 3-Bedroom 2-Storey House and Lot in Mabalacat, Pampanga at Talanai Homes | AGOHO","Km. 19 West Service Rd. Cupang, Muntinlupa, Philippines",2706500,3,2,62,65,15.1987752,120.6026101
"4BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Dani w/ CB 217sqm","Km. 19 West Service Rd. Cupang, Muntinlupa, Philippines",10501000,4,3,83,217,14.9131781,120.2282421
"3-Bedroom House and Lot for Sale in General Trias, Cavite at Lancaster New City | GABRIELLE Model","Km. 19 West Service Rd. Cupang, Muntinlupa, Philippines",6650000,3,2,84,120,14.3723207,120.8976745
"3-Bedroom House and Lot for Sale in General Trias, Cavite at Lancaster New City | CHESSA Model","Aningway Sacatihan, Subic, Philippines",5978000,3,3,90,100,14.3723207,120.8976745
"3BR House and Lot for Sale in Mexico, Pampanga | Parklane at The Lakeshore, Hyde","Aningway Sacatihan, Subic, Philippines",2705850,3,2,77.31,,15.0874959,120.6742393
"BIG DISCOUNT (up to 500k)! For Sale 3-Bedroom Single Attached House and Lot at PTC Suncrest in Imus, Cavite | Rosanna Model","Aningway Sacatihan, Subic, Philippines",5234791,3,2,75,112,14.4289186,120.928888
RFO 5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Greta w/ CB 143sqm,"Aguinaldo Highway San Agustin I, Dasmarinas, Philippines",10748000,5,3,166,143,,
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa, Philippines",26365000,3,3,219.3,90,14.4270005,121.0452782
"2BR 2-Storey Townhouse for Sale in Malolos, Bulacan at Camella Provence | Arielle IU","Km. 19 West Service Rd. Cupang, Muntinlupa, Philippines",3025000,2,1,36,42,14.87426,120.7915336
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse (Garden Unit)","Divisoria, Mexico, Philippines",28348000,3,3,219.3,105,14.4270005,121.0452782
"For Sale 4BR 3-Storey Townhouse in Dasmariñas, Cavite | The Villas at Dasmariñas Highlands","Aningway Sacatihan, Subic, Philippines",9500000,4,4,132,66,14.3214271,120.94188
2BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Bella 99sqm,"Sapang Biabas, Mabalacat, Philippines",5705000,2,2,53,99,,
RFO 2BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ezabelle Combo Lot 96sqm,"Cupang, Muntinlupa, Philippines",5174000,2,1,46,96,,
"RFO 2-Storey House and Lot w/ 1BR Provision for Sale in Subic, Zambales at Camella Subic | Aleah","Emilio Vergara Hwy Santa Arcadia, Cabanatuan, Philippines",2341000,1,1,33,70,14.9131781,120.2282421
"RFO 3BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Jade","Emilio Vergara Hwy Santa Arcadia, Cabanatuan, Philippines",10413000,3,2,76,128,14.87426,120.7915336
"RFO 2BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Mika","Emilio Vergara Hwy Santa Arcadia, Cabanatuan, Philippines",5179000,2,1,46,60,14.87426,120.7915336
"RFO 2BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Bella 88sqm","Aningway Sacatihan, Subic, Philippines",6005000,2,2,53,88,14.87426,120.7915336
"For Sale 3BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Cara 99sqm","Mining, Angeles, Philippines",6200000,3,2,66,99,15.4710779,120.9821312
"For Sale RFO 2BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Criselle 63sqm","Km. 19 West Service Rd. Cupang, Muntinlupa, Philippines",4454000,2,1,40,63,15.4710779,120.9821312
"RFO 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Mika 63sqm","San Sebastian, Kawit, Philippines",4458000,2,1,46,63,15.4710779,120.9821312
"RFO 3BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Carmela","Bugtong Na Pulo, Lipa, Philippines",8915000,3,2,66,121,15.4710779,120.9821312
2BR 2-Storey House and Lot for Sale in Cabanatuan Nueva Ecija at Camella Nueva Ecija | Ezabelle 63sqm,"Bugtong Na Pulo, Lipa, Philippines",4270000,2,1,46,63,15.4710779,120.9821312
